Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Benji Bell,Defensive Foul,,,1 - 2:00,,,,
Benji Bell,Left the Game,Jarin Hilson Entered the Game,,1 - 2:00,,,,
,,,45-39,1 - 2:00,6,Ammar Rehman,Free Throw Made,
,,,45-40,1 - 2:00,5,Ammar Rehman,Free Throw Made,
,,,45-41,1 - 1:54,4,William Desilien,Free Throw Made,
,,,45-42,1 - 1:54,3,William Desilien,Free Throw Made,
Jordan Capps,Field Goal Attempt,Andrew Rogers Offensive Rebound,,1 - 1:51,,,,
Xavier Moon,Field Goal Made,,47-42,1 - 1:39,5,,,
,,,,1 - 1:39,,Christopher Boucher,Defensive Foul,
,,,,1 - 1:39,,Christopher Boucher,Left the Game,Eric Robinson Entered the Game
Xavier Moon,Free Throw Made,,48-42,1 - 1:39,6,,,
Jordan Capps,Defensive Foul,,,1 - 1:37,,,,
,,,,1 - 1:22,,Daryle Morgan,Free Throw Attempt,NW College Offensive Rebound
,,Jalen Jackson Defensive Rebound,,1 - 1:22,,Daryle Morgan,Free Throw Attempt,
Jalen Jackson,Field Goal Attempt,NW Florida Offensive Rebound,,1 - 1:14,,,,
Jordan Capps,Offensive Foul,,,1 - 1:14,,,,
Jordan Capps,Turnover,,,1 - 1:14,,,,
,,,48-44,1 - 0:59,4,William Desilien,Field Goal Made,
Jalen Jackson,Offensive Foul,,,1 - 0:56,,,,
Jalen Jackson,Turnover,,,1 - 0:56,,,,
,,,,1 - 0:56,,Eric Robinson,Charge,
Jalen Jackson,Left the Game,Dexter Graham Entered the Game,,1 - 0:56,,,,
Xavier Moon,Defensive Foul,,,1 - 0:45,,,,
Andrew Rogers,Technical Foul,,,1 - 0:45,,,,
,,,,1 - 0:45,,William Desilien,Free Throw Attempt,NW College Offensive Rebound
,,,48-45,1 - 0:45,3,William Desilien,Free Throw Made,
,,,48-46,1 - 0:45,2,William Desilien,Free Throw Made,
,,,48-47,1 - 0:45,1,William Desilien,Free Throw Made,
