Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Diamante Langston,Left the Game,,,1 - 6:26,,,,
Pat Birt,Left the Game,,,1 - 6:26,,,,
Emmanuel Omogbo,Left the Game,,,1 - 6:26,,,,
Brandon Neel,Left the Game,Andre Spight Entered the Game,,1 - 6:26,,,,
Diamante Langston,Entered the Game,,,1 - 6:26,,,,
Andre Horne,Entered the Game,,,1 - 6:26,,,,
Emmanuel Omogbo,Entered the Game,,,1 - 6:26,,,,
Brandon Neel,Entered the Game,,,1 - 6:26,,,,
,,,,1 - 6:26,,Evan Moorman,Entered the Game,
,,,,1 - 6:26,,Jemerrio Jones,Entered the Game,
,,,,1 - 6:26,,Devocio Butler,Entered the Game,
,,,,1 - 6:26,,Tyrell Bellot-Green,Entered the Game,
,,,,1 - 6:26,,Marcus Johnson Jr.,Entered the Game,
,,,,1 - 6:07,,Jemerrio Jones,Field Goal Attempt,Jemerrio Jones Offensive Rebound
,,Brandon Neel Defensive Rebound,,1 - 6:05,,Jemerrio Jones,Field Goal Attempt,
Diamante Langston,Field Goal Made,,28-27,1 - 5:57,1 (L8),,,
,,Brandon Neel Defensive Rebound,,1 - 5:46,,Marcus Johnson Jr.,Three Point Attempt,
,,,,1 - 5:32,,Tyrell Bellot-Green,Defensive Foul,
,,,,1 - 5:32,,Evan Moorman,Left the Game,
,,,,1 - 5:32,,Tyrell Bellot-Green,Left the Game,Ke`von Rice Entered the Game
,,,,1 - 5:32,,Kristian Keys,Entered the Game,
Emmanuel Omogbo,Free Throw Attempt,South Plains Offensive Rebound,,1 - 5:32,,,,
Emmanuel Omogbo,Free Throw Attempt,,,1 - 5:32,,,,Ke`von Rice Defensive Rebound
,,,,1 - 5:14,,Devocio Butler,Three Point Attempt,Kristian Keys Offensive Rebound
Diamante Langston,Defensive Foul,,,1 - 5:12,,,,
,,,28-28,1 - 5:12,(T5),Devocio Butler,Free Throw Made,
,,,,1 - 5:12,,Devocio Butler,Free Throw Attempt,Ke`von Rice Offensive Rebound
,,Brandon Neel Defensive Rebound,,1 - 5:05,,Devocio Butler,Three Point Attempt,
Andre Horne,Three Point Attempt,,,1 - 4:50,,,,Devocio Butler Defensive Rebound
Andre Horne,Defensive Foul,,,1 - 4:44,,,,
,,,28-29,1 - 4:44,-1 (L9),Jemerrio Jones,Free Throw Made,
,,Andre Horne Defensive Rebound,,1 - 4:44,,Jemerrio Jones,Free Throw Attempt,
Diamante Langston,Turnover,,,1 - 4:27,,,,
Diamante Langston,Defensive Foul,,,1 - 4:14,,,,
Diamante Langston,Left the Game,Jerron Martin Entered the Game,,1 - 4:14,,,,
,,,28-30,1 - 4:14,-2,Kristian Keys,Free Throw Made,
,,,28-31,1 - 4:14,-3,Kristian Keys,Free Throw Made,
Andre Spight,Three Point Attempt,,,1 - 4:02,,,,Devocio Butler Defensive Rebound
,,,,1 - 3:53,,Jemerrio Jones,Field Goal Attempt,Devocio Butler Offensive Rebound
,,Emmanuel Omogbo Defensive Rebound,,1 - 3:52,,Devocio Butler,Field Goal Attempt,
,,,,1 - 3:52,,Devocio Butler,Defensive Foul,
,,,,1 - 3:52,,Devocio Butler,Left the Game,Stefan Zecevic Entered the Game
Emmanuel Omogbo,Free Throw Attempt,,,1 - 3:52,,,,Stefan Zecevic Defensive Rebound
,,,28-33,1 - 3:38,-5,Jemerrio Jones,Field Goal Made,
Brandon Neel,Defensive Foul,,,1 - 3:38,,,,
,,,28-34,1 - 3:38,-6,Jemerrio Jones,Free Throw Made,
Brandon Neel,Field Goal Attempt,,,1 - 3:16,,,,Jemerrio Jones Defensive Rebound
,,Emmanuel Omogbo Defensive Rebound,,1 - 3:07,,Marcus Johnson Jr.,Three Point Attempt,
,,,,1 - 3:06,,Kristian Keys,Defensive Foul,
Andre Spight,Left the Game,,,1 - 3:06,,,,
Brandon Neel,Left the Game,Marlon Jones Entered the Game,,1 - 3:06,,,,
Lincoln Davis,Entered the Game,,,1 - 3:06,,,,
Emmanuel Omogbo,Free Throw Attempt,South Plains Offensive Rebound,,1 - 3:06,,,,
Emmanuel Omogbo,Free Throw Made,,29-34,1 - 3:06,-5,,,
,,,29-36,1 - 2:48,-7,Jemerrio Jones,Field Goal Made,
Emmanuel Omogbo,Three Point Attempt,,,1 - 2:31,,,,Marcus Johnson Jr. Defensive Rebound
,,,,1 - 2:20,,Ke`von Rice,Turnover,
Emmanuel Omogbo,Steal,,,1 - 2:19,,,,
Jerron Martin,Field Goal Made,,31-36,1 - 2:13,-5,,,
,,,31-38,1 - 1:50,-7,Jemerrio Jones,Field Goal Made,
,,,,1 - 1:44,,Marcus Johnson Jr.,Defensive Foul,
Emmanuel Omogbo,Left the Game,Pedro Konofino Entered the Game,,1 - 1:44,,,,
,,,,1 - 1:44,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 1:44,,Stefan Zecevic,Left the Game,Evan Moorman Entered the Game
,,,,1 - 1:44,,William Robinson,Entered the Game,
Jerron Martin,Free Throw Made,,32-38,1 - 1:44,-6,,,
