Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Devante Jackson,Left the Game,,,2 - 20:00,,,,
,,,,2 - 20:00,,Will Tavares,Left the Game,
,,,,2 - 20:00,,Thomas Rivera,Left the Game,
,,,,2 - 20:00,,Joel Angus III,Left the Game,
,,,,2 - 20:00,,Shakeem Wilson,Left the Game,
,,,,2 - 20:00,,Lukas Landgren,Left the Game,Keith Harris Entered the Game
,,,,2 - 20:00,,Keith Harris,Left the Game,Lukas Landgren Entered the Game
,,,,,,2 Thomas Rivera,Entered Game,
,,,,,,5 Joel Angus III,Entered Game,
,,,,,,1 Will Tavares,Entered Game,
,,,,,,23 Keith Harris,Entered Game,
15 Shelton Hagigal,Entered Game,,,,,,,
Shelton Hagigal,Turnover,,,2 - 19:48,,,,
,,,31-47,2 - 19:27,-16,Thomas Rivera,Field Goal Made,
Shelton Hagigal,Three Point Made,,34-47,2 - 19:14,-13,,,
Aldonis foote,Assist,,,2 - 19:14,,,,
Nicholai Brown,Left the Game,Jhaustin Thomas Entered the Game,,2 - 19:13,,,,
,,,34-49,2 - 18:40,-15,Lukas Landgren,Field Goal Made,
,,,,2 - 18:39,,Thomas Rivera,Assist,
Dedrick Basile,Three Point Attempt,,,2 - 18:28,,,,Joel Angus III Defensive Rebound
,,,,2 - 18:05,,Will Tavares,Offensive Foul,
,,,,2 - 18:05,,Will Tavares,Turnover,
Aldonis foote,Charge,,,2 - 18:05,,,,
Shelton Hagigal,Three Point Attempt,Jhaustin Thomas Offensive Rebound,,2 - 17:53,,,,
Jhaustin Thomas,Field Goal Made,,36-49,2 - 17:49,-13,,,
,,,36-51,2 - 17:19,-15,Will Tavares,Field Goal Made,
Jhaustin Thomas,Field Goal Made,,38-51,2 - 17:08,-13,,,
Shelton Hagigal,Assist,,,2 - 17:07,,,,
Jhaustin Thomas,Defensive Foul,,,2 - 16:44,,,,
Clarence Williams,Left the Game,Preston Anderson Entered the Game,,2 - 16:44,,,,
,,,,2 - 16:44,,Lukas Landgren,Free Throw Attempt,Monroe College Offensive Rebound
,,,38-52,2 - 16:44,-14,Lukas Landgren,Free Throw Made,
Dedrick Basile,Three Point Made,,41-52,2 - 16:35,-11,,,
Aldonis foote,Assist,,,2 - 16:34,,,,
Jhaustin Thomas,Defensive Foul,,,2 - 16:14,,,,
,,,,2 - 16:14,,Lukas Landgren,Left the Game,Shackquiel Scott Entered the Game
,,,,2 - 16:14,,Joel Angus III,Free Throw Attempt,Monroe College Offensive Rebound
,,,41-53,2 - 16:14,-12,Joel Angus III,Free Throw Made,
Preston Anderson,Three Point Attempt,Trinity Valley Offensive Rebound,,2 - 16:03,,,,
Aldonis foote,Field Goal Made,,43-53,2 - 16:01,-10,,,
,,,43-55,2 - 15:41,-12,Joel Angus III,Field Goal Made,
Aldonis foote,Defensive Foul,,,2 - 15:39,,,,
Jhaustin Thomas,Left the Game,Devante Jackson Entered the Game,,2 - 15:39,,,,
,,,43-56,2 - 15:39,-13,Joel Angus III,Free Throw Made,
Dedrick Basile,Three Point Made,,46-56,2 - 15:22,-10,,,
Shelton Hagigal,Assist,,,2 - 15:22,,,,
,,,,2 - 15:11,,Thomas Rivera,Turnover,
Dedrick Basile,Three Point Attempt,Devante Jackson Offensive Rebound,,2 - 14:51,,,,
Devante Jackson,Field Goal Attempt,,,2 - 14:47,,,,
,,,,2 - 14:47,,Shackquiel Scott,Blocked shot,
,,,,2 - 14:46,,Joel Angus III,Defensive Foul,
Preston Anderson,Left the Game,Clarence Williams Entered the Game,,2 - 14:46,,,,
Aldonis foote,Free Throw Attempt,Trinity Valley Offensive Rebound,,2 - 14:46,,,,
Aldonis foote,Free Throw Made,,47-56,2 - 14:46,-9,,,
,,Clarence Williams Defensive Rebound,,2 - 14:19,,Shackquiel Scott,Field Goal Attempt,
,,,,2 - 14:18,,Shackquiel Scott,Defensive Foul,
Clarence Williams,Three Point Attempt,,,2 - 14:00,,,,Will Tavares Defensive Rebound
,,,,2 - 13:31,,Will Tavares,Field Goal Attempt,Shackquiel Scott Offensive Rebound
Shelton Hagigal,Defensive Foul,,,2 - 13:28,,,,
Clarence Williams,Left the Game,,,2 - 13:28,,,,
Devante Jackson,Left the Game,Jhaustin Thomas Entered the Game,,2 - 13:28,,,,
Preston Anderson,Entered the Game,,,2 - 13:28,,,,
,,,,2 - 13:28,,Shackquiel Scott,Free Throw Attempt,Monroe College Offensive Rebound
,,,,2 - 13:28,,Shackquiel Scott,Free Throw Attempt,Will Tavares Offensive Rebound
,,,,2 - 13:23,,Will Tavares,Field Goal Attempt,Shackquiel Scott Offensive Rebound
,,,,2 - 13:23,,Shackquiel Scott,Jump Ball Won,
Preston Anderson,Left the Game,Melvin Swift Entered the Game,,2 - 13:23,,,,
,,,,2 - 12:47,,Keith Harris,Three Point Attempt,Joel Angus III Offensive Rebound
Aldonis foote,Defensive Foul,,,2 - 12:45,,,,
Aldonis foote,Left the Game,Devante Jackson Entered the Game,,2 - 12:45,,,,
,,,47-57,2 - 12:45,-10,Joel Angus III,Free Throw Made,
,,Devante Jackson Defensive Rebound,,2 - 12:45,,Joel Angus III,Free Throw Attempt,
Shelton Hagigal,Field Goal Made,,49-57,2 - 12:36,-8,,,
Melvin Swift,Defensive Foul,,,2 - 12:18,,,,
,,,49-60,2 - 11:57,-11,Thomas Rivera,Three Point Made,
,,,,2 - 11:56,,Keith Harris,Assist,
Dedrick Basile,Three Point Attempt,Devante Jackson Offensive Rebound,,2 - 11:41,,,,
,,,,2 - 11:40,,Thomas Rivera,Defensive Foul,
Melvin Swift,Three Point Attempt,Jhaustin Thomas Offensive Rebound,,2 - 11:40,,,,
,,,,2 - 11:10,,Shackquiel Scott,Defensive Foul,
Devante Jackson,Left the Game,Aldonis foote Entered the Game,,2 - 11:10,,,,
,,,,2 - 11:10,,Shackquiel Scott,Left the Game,
,,,,2 - 11:10,,Keith Harris,Left the Game,Ran Tut Entered the Game
,,,,2 - 11:10,,Lukas Landgren,Entered the Game,
Shelton Hagigal,Free Throw Made,,50-60,2 - 11:10,-10,,,
Shelton Hagigal,Free Throw Attempt,,,2 - 11:10,,,,Monroe College Defensive Rebound
Aldonis foote,Defensive Foul,,,2 - 11:03,,,,
,,Aldonis foote Defensive Rebound,,2 - 11:03,,Thomas Rivera,Free Throw Attempt,
,,,,2 - 10:46,,Lukas Landgren,Defensive Foul,
Dedrick Basile,Turnover,,,2 - 10:44,,,,
,,Jhaustin Thomas Defensive Rebound,,2 - 10:34,,Will Tavares,Field Goal Attempt,
,,,,2 - 10:25,,Will Tavares,Defensive Foul,
Melvin Swift,Left the Game,Clarence Williams Entered the Game,,2 - 10:25,,,,
,,,,2 - 10:25,,Will Tavares,Left the Game,Jaylen Benton Entered the Game
Jhaustin Thomas,Free Throw Made,,51-60,2 - 10:25,-9,,,
Jhaustin Thomas,Free Throw Attempt,,,2 - 10:25,,,,Joel Angus III Defensive Rebound
,,,,2 - 9:59,,Lukas Landgren,Turnover,
Dedrick Basile,Steal,,,2 - 9:58,,,,
Dedrick Basile,Field Goal Made,,53-60,2 - 9:55,-7,,,
,,,,2 - 9:30,,Lukas Landgren,Turnover,
Jhaustin Thomas,Left the Game,,,2 - 9:30,,,,
Dedrick Basile,Left the Game,,,2 - 9:30,,,,
Clarence Williams,Left the Game,,,2 - 9:30,,,,
Shelton Hagigal,Left the Game,,,2 - 9:30,,,,
Aldonis foote,Left the Game,Preston Anderson Entered the Game,,2 - 9:30,,,,
Clarence Williams,Entered the Game,,,2 - 9:30,,,,
Jhaustin Thomas,Entered the Game,,,2 - 9:30,,,,
Shelton Hagigal,Entered the Game,,,2 - 9:30,,,,
Dedrick Basile,Entered the Game,,,2 - 9:30,,,,
Shelton Hagigal,Three Point Attempt,,,2 - 9:18,,,,Joel Angus III Defensive Rebound
,,Shelton Hagigal Defensive Rebound,,2 - 9:11,,Thomas Rivera,Field Goal Attempt,
Clarence Williams,Field Goal Made,,55-60,2 - 8:53,-5,,,
Jhaustin Thomas,Assist,,,2 - 8:53,,,,
,,,,2 - 8:53,,Ran Tut,Defensive Foul,
Clarence Williams,Free Throw Made,,56-60,2 - 8:53,-4,,,
,,,,2 - 8:41,,Joel Angus III,Turnover,
Preston Anderson,Steal,,,2 - 8:38,,,,
Dedrick Basile,Turnover,,,2 - 8:35,,,,
,,,,2 - 8:34,,Lukas Landgren,Left the Game,Shackquiel Scott Entered the Game
Jhaustin Thomas,Left the Game,Nicholai Brown Entered the Game,,2 - 8:34,,,,
,,,,2 - 8:24,,Jaylen Benton,Turnover,
Dedrick Basile,Field Goal Made,,58-60,2 - 7:59,-2,,,
,,Nicholai Brown Defensive Rebound,,2 - 7:27,,Ran Tut,Three Point Attempt,
Nicholai Brown,Left the Game,Devante Jackson Entered the Game,,2 - 7:15,,,,
,,,,2 - 7:15,,Thomas Rivera,Left the Game,
,,,,2 - 7:15,,Jaylen Benton,Left the Game,
,,,,2 - 7:15,,Shackquiel Scott,Left the Game,
,,,,2 - 7:15,,Joel Angus III,Left the Game,
,,,,2 - 7:15,,Ran Tut,Left the Game,Thomas Rivera Entered the Game
,,,,2 - 7:15,,Shackquiel Scott,Entered the Game,
,,,,2 - 7:15,,Joel Angus III,Entered the Game,
,,,,2 - 7:15,,Ran Tut,Entered the Game,
,,,,2 - 7:15,,Keith Harris,Entered the Game,
Shelton Hagigal,Three Point Attempt,,,2 - 6:52,,,,Shackquiel Scott Defensive Rebound
,,,,2 - 6:42,,Keith Harris,Three Point Attempt,Monroe College Offensive Rebound
Preston Anderson,Left the Game,Melvin Swift Entered the Game,,2 - 6:42,,,,
Clarence Williams,Left the Game,,,2 - 6:42,,,,
Devante Jackson,Left the Game,Jhaustin Thomas Entered the Game,,2 - 6:42,,,,
Aldonis foote,Entered the Game,,,2 - 6:42,,,,
,,,,2 - 6:27,,Shackquiel Scott,Turnover,
Shelton Hagigal,Steal,,,2 - 6:26,,,,
Melvin Swift,Field Goal Made,,60-60,2 - 6:22,(T1),,,
Shelton Hagigal,Assist,,,2 - 6:22,,,,
Aldonis foote,Defensive Foul,,,2 - 5:59,,,,
Aldonis foote,Left the Game,Clarence Williams Entered the Game,,2 - 5:59,,,,
Clarence Williams,Left the Game,Devante Jackson Entered the Game,,2 - 5:59,,,,
,,,60-61,2 - 5:59,-1 (L1),Ran Tut,Free Throw Made,
,,,60-62,2 - 5:59,-2,Ran Tut,Free Throw Made,
Melvin Swift,Field Goal Made,,62-62,2 - 5:43,(T2),,,
Dedrick Basile,Assist,,,2 - 5:42,,,,
,,Trinity Valley Defensive Rebound,,2 - 5:02,,Keith Harris,Field Goal Attempt,
,,,,2 - 5:02,,Ran Tut,Defensive Foul,
,,,,2 - 5:02,,Keith Harris,Left the Game,Edgar Garcia Entered the Game
Dedrick Basile,Free Throw Made,,63-62,2 - 5:02,1 (L2),,,
Dedrick Basile,Free Throw Attempt,,,2 - 5:02,,,,Ran Tut Defensive Rebound
,,,,2 - 4:42,,Edgar Garcia,Turnover,
Melvin Swift,Left the Game,Clarence Williams Entered the Game,,2 - 4:42,,,,
,,,,2 - 4:42,,Edgar Garcia,Left the Game,Keith Harris Entered the Game
Jhaustin Thomas,Left the Game,,,2 - 4:42,,,,
Dedrick Basile,Left the Game,,,2 - 4:42,,,,
Clarence Williams,Left the Game,,,2 - 4:42,,,,
Shelton Hagigal,Left the Game,,,2 - 4:42,,,,
Devante Jackson,Left the Game,Clarence Williams Entered the Game,,2 - 4:42,,,,
Dedrick Basile,Entered the Game,,,2 - 4:42,,,,
Shelton Hagigal,Entered the Game,,,2 - 4:42,,,,
Jhaustin Thomas,Entered the Game,,,2 - 4:42,,,,
Preston Anderson,Entered the Game,,,2 - 4:42,,,,
Clarence Williams,Turnover,,,2 - 4:23,,,,
