Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,Georgia Highlands Defensive Rebound,,1 - 4:24,,Akbar Hoffman,Field Goal Attempt,
Paris Ballinger,Field Goal Attempt,,,1 - 4:06,,,,
,,,,1 - 4:05,,Keanu Pinder,Blocked shot,
,,,,1 - 4:04,,Jaylan Robertson,Defensive Rebound,
,,,16-21,1 - 4:02,-5,DeShawn Freeman,Field Goal Made,
,,,,1 - 3:58,,Jaylan Robertson,Assist,
Taquan Givens,Three Point Attempt,,,1 - 3:32,,,,Keanu Pinder Defensive Rebound
,,Donovan Harris Defensive Rebound,,1 - 3:13,,Austin Budke,Field Goal Attempt,
,,,,1 - 2:46,,DeShawn Freeman,Defensive Foul,
Donovan Harris,Left the Game,Terrence Thompson Entered the Game,,1 - 2:46,,,,
,,,,1 - 2:46,,Keanu Pinder,Left the Game,
,,,,1 - 2:46,,DeShawn Freeman,Left the Game,Bashier Ahmed Entered the Game
,,,,1 - 2:46,,Moataz Aly,Entered the Game,
Paris Ballinger,Free Throw Made,,17-21,1 - 2:46,-4,,,
Paris Ballinger,Free Throw Made,,18-21,1 - 2:46,-3,,,
,,Ty Toney Defensive Rebound,,1 - 2:30,,Akbar Hoffman,Field Goal Attempt,
Paris Ballinger,Field Goal Made,,20-21,1 - 2:26,-1,,,
Ty Toney,Assist,,,1 - 2:26,,,,
,,,,1 - 2:26,,Akbar Hoffman,Defensive Foul,
Paris Ballinger,Free Throw Made,,21-21,1 - 2:26,(T4),,,
,,Taquan Givens Defensive Rebound,,1 - 2:10,,Jaylan Robertson,Field Goal Attempt,
,,,,1 - 2:06,,Jaylan Robertson,Defensive Foul,
,,,,1 - 2:06,,Jaylan Robertson,Left the Game,Che Bob Entered the Game
Paris Ballinger,Left the Game,Donovan Harris Entered the Game,,1 - 2:06,,,,
Taquan Givens,Free Throw Made,,22-21,1 - 2:06,1 (L6),,,
Taquan Givens,Free Throw Made,,23-21,1 - 2:06,2,,,
Ty Toney,Defensive Foul,,,1 - 1:55,,,,
Donovan Harris,Left the Game,Paris Ballinger Entered the Game,,1 - 1:55,,,,
,,,23-22,1 - 1:55,1,Che Bob,Free Throw Made,
,,Ty Toney Defensive Rebound,,1 - 1:55,,Che Bob,Free Throw Attempt,
Terrence Thompson,Field Goal Attempt,,,1 - 1:35,,,,Che Bob Defensive Rebound
,,,,1 - 1:21,,Bashier Ahmed,Field Goal Attempt,Akbar Hoffman Offensive Rebound
Terrence Thompson,Defensive Foul,,,1 - 1:21,,,,
,,,,1 - 1:21,,Akbar Hoffman,Free Throw Attempt,HCC Offensive Rebound
,,,23-23,1 - 1:21,(T5),Akbar Hoffman,Free Throw Made,
Paris Ballinger,Field Goal Attempt,,,1 - 0:59,,,,
,,,,1 - 0:59,,Moataz Aly,Blocked shot,
Ty Toney,Field Goal Attempt,Ty Toney Offensive Rebound,,1 - 0:52,,,,
Ty Toney,Field Goal Attempt,,,1 - 0:51,,,,Moataz Aly Defensive Rebound
,,Terrence Thompson Defensive Rebound,,1 - 0:26,,Austin Budke,Field Goal Attempt,
Ty Toney,Field Goal Attempt,,,1 - 0:18,,,,
,,,,1 - 0:16,,Moataz Aly,Blocked shot,
Terrence Thompson,Offensive Rebound,,,1 - 0:14,,,,
Terrence Thompson,Field Goal Attempt,,,1 - 0:13,,,,Bashier Ahmed Defensive Rebound
,,,,1 - 0:10,,Che Bob,Offensive Foul,
,,,,1 - 0:10,,Che Bob,Turnover,
Paris Ballinger,Charge,,,1 - 0:10,,,,
,,,,1 - 0:10,,Che Bob,Left the Game,Zach Winter Entered the Game
Paris Ballinger,Field Goal Attempt,,,1 - 0:02,,,,
,,,,1 - 0:02,,Moataz Aly,Blocked shot,
Terrence Thompson,Offensive Rebound,,,1 - 0:01,,,,
Terrence Thompson,Field Goal Made,,25-23,1 - 0:01,2 (L7),,,
Doniel Dean,Left the Game,,,2 - 20:00,,,,
Taquan Givens,Left the Game,,,2 - 20:00,,,,
Terrence Thompson,Left the Game,,,2 - 20:00,,,,
Paris Ballinger,Left the Game,,,2 - 20:00,,,,
Ty Toney,Left the Game,,,2 - 20:00,,,,
,,,,2 - 20:00,,Zach Winter,Left the Game,
,,,,2 - 20:00,,Akbar Hoffman,Left the Game,
,,,,2 - 20:00,,Bashier Ahmed,Left the Game,
,,,,2 - 20:00,,Austin Budke,Left the Game,
,,,,2 - 20:00,,Moataz Aly,Left the Game,Zach Winter Entered the Game
,,,,,,5 Bashier Ahmed,Entered Game,
,,,,,,12 Austin Budke,Entered Game,
,,,,,,25 Keanu Pinder,Entered Game,
,,,,,,33 DeShawn Freeman,Entered Game,
15 Donovan Harris,Entered Game,,,,,,,
Donovan Harris,Defensive Foul,,,2 - 19:51,,,,
Donovan Harris,Left the Game,Terrence Thompson Entered the Game,,2 - 19:51,,,,
,,,,2 - 19:51,,Zach Winter,Turnover,
Doniel Dean,Offensive Foul,,,2 - 19:40,,,,
Doniel Dean,Turnover,,,2 - 19:40,,,,
,,,25-25,2 - 19:23,(T1),Bashier Ahmed,Field Goal Made,
,,,,2 - 19:22,,Keanu Pinder,Assist,
Taquan Givens,Field Goal Attempt,,,2 - 19:02,,,,Austin Budke Defensive Rebound
,,,,2 - 18:46,,Bashier Ahmed,Offensive Foul,
,,,,2 - 18:46,,Bashier Ahmed,Turnover,
Montrel Goldston,Charge,,,2 - 18:46,,,,
Montrel Goldston,Turnover,,,2 - 18:26,,,,
,,,,2 - 18:25,,Keanu Pinder,Steal,
,,,25-27,2 - 18:20,-2 (L1),Bashier Ahmed,Field Goal Made,
,,,,2 - 18:06,,Austin Budke,Defensive Foul,
Doniel Dean,Left the Game,Ty Toney Entered the Game,,2 - 18:06,,,,
Montrel Goldston,Free Throw Made,,26-27,2 - 18:06,-1,,,
Montrel Goldston,Free Throw Made,,27-27,2 - 18:06,(T2),,,
,,Terrence Thompson Defensive Rebound,,2 - 17:49,,Keanu Pinder,Field Goal Attempt,
Taquan Givens,Field Goal Attempt,,,2 - 17:41,,,,Zach Winter Defensive Rebound
,,,,2 - 17:34,,Zach Winter,Field Goal Attempt,DeShawn Freeman Offensive Rebound
,,,,2 - 17:32,,DeShawn Freeman,Field Goal Attempt,HCC Offensive Rebound
Terrence Thompson,Defensive Foul,,,2 - 17:31,,,,
,,,27-29,2 - 17:25,-2 (L2),DeShawn Freeman,Field Goal Made,
Taquan Givens,Field Goal Attempt,Terrence Thompson Offensive Rebound,,2 - 17:05,,,,
Terrence Thompson,Field Goal Made,,29-29,2 - 17:02,(T3),,,
Taquan Givens,Defensive Foul,,,2 - 16:50,,,,
,,,,2 - 16:36,,Keanu Pinder,Turnover,
Terrence Thompson,Field Goal Made,,31-29,2 - 16:19,2 (L3),,,
Denzel Council,Assist,,,2 - 16:18,,,,
,,,,2 - 16:11,,DeShawn Freeman,Turnover,
Terrence Thompson,Field Goal Attempt,,,2 - 15:56,,,,
,,,,2 - 15:55,,Keanu Pinder,Blocked shot,
Terrence Thompson,Offensive Rebound,,,2 - 15:54,,,,
Montrel Goldston,Field Goal Attempt,,,2 - 15:52,,,,Keanu Pinder Defensive Rebound
,,Georgia Highlands Defensive Rebound,,2 - 15:36,,Bashier Ahmed,Three Point Attempt,
,,,,2 - 15:36,,Austin Budke,Defensive Foul,
Taquan Givens,Left the Game,,,2 - 15:36,,,,
Montrel Goldston,Left the Game,Doniel Dean Entered the Game,,2 - 15:36,,,,
Paris Ballinger,Entered the Game,,,2 - 15:36,,,,
,,,,2 - 15:36,,Austin Budke,Left the Game,Akbar Hoffman Entered the Game
Ty Toney,Turnover,,,2 - 15:19,,,,
,,,,2 - 15:18,,DeShawn Freeman,Steal,
,,,31-31,2 - 15:16,(T4),DeShawn Freeman,Field Goal Made,
Denzel Council,Left the Game,Donovan Harris Entered the Game,,2 - 15:09,,,,
Donovan Harris,Left the Game,Denzel Council Entered the Game,,2 - 15:09,,,,
Doniel Dean,Turnover,,,2 - 15:09,,,,
,,,,2 - 15:09,,Bashier Ahmed,Steal,
Ty Toney,Defensive Foul,,,2 - 15:07,,,,
Denzel Council,Left the Game,Donovan Harris Entered the Game,,2 - 15:07,,,,
,,,31-33,2 - 15:02,-2 (L4),DeShawn Freeman,Field Goal Made,
Ty Toney,Field Goal Attempt,,,2 - 14:37,,,,Keanu Pinder Defensive Rebound
,,,,2 - 14:31,,DeShawn Freeman,Offensive Foul,
,,,,2 - 14:31,,DeShawn Freeman,Turnover,
Paris Ballinger,Charge,,,2 - 14:31,,,,
Terrence Thompson,Left the Game,Montrel Goldston Entered the Game,,2 - 14:31,,,,
,,,,2 - 14:31,,DeShawn Freeman,Left the Game,Moataz Aly Entered the Game
Donovan Harris,Field Goal Attempt,,,2 - 14:17,,,,Akbar Hoffman Defensive Rebound
,,Donovan Harris Defensive Rebound,,2 - 14:11,,Moataz Aly,Field Goal Attempt,
Paris Ballinger,Field Goal Attempt,,,2 - 13:40,,,,Zach Winter Defensive Rebound
,,,,2 - 13:22,,Bashier Ahmed,Offensive Foul,
,,,,2 - 13:22,,Bashier Ahmed,Turnover,
Paris Ballinger,Left the Game,Taquan Givens Entered the Game,,2 - 13:22,,,,
Ty Toney,Field Goal Attempt,,,2 - 13:09,,,,Akbar Hoffman Defensive Rebound
Donovan Harris,Defensive Foul,,,2 - 13:02,,,,
Donovan Harris,Left the Game,Terrence Thompson Entered the Game,,2 - 13:02,,,,
,,,31-34,2 - 13:02,-3,Akbar Hoffman,Free Throw Made,
,,,31-35,2 - 13:02,-4,Akbar Hoffman,Free Throw Made,
Taquan Givens,Three Point Attempt,Montrel Goldston Offensive Rebound,,2 - 12:46,,,,
Montrel Goldston,Field Goal Attempt,,,2 - 12:43,,,,
,,,,2 - 12:43,,Moataz Aly,Blocked shot,
Ty Toney,Three Point Attempt,Montrel Goldston Offensive Rebound,,2 - 12:39,,,,
Montrel Goldston,Field Goal Made,,33-35,2 - 12:37,-2,,,
,,Terrence Thompson Defensive Rebound,,2 - 12:18,,Zach Winter,Three Point Attempt,
Montrel Goldston,Three Point Attempt,,,2 - 12:10,,,,Bashier Ahmed Defensive Rebound
,,Terrence Thompson Defensive Rebound,,2 - 11:44,,Akbar Hoffman,Three Point Attempt,
Montrel Goldston,Field Goal Made,,35-35,2 - 11:37,(T5),,,
Montrel Goldston,Defensive Foul,,,2 - 11:25,,,,
Montrel Goldston,Left the Game,Denzel Council Entered the Game,,2 - 11:25,,,,
,,Terrence Thompson Defensive Rebound,,2 - 11:25,,Moataz Aly,Free Throw Attempt,
,,,,2 - 11:11,,Zach Winter,Defensive Foul,
,,,,2 - 11:11,,Moataz Aly,Left the Game,DeShawn Freeman Entered the Game
Doniel Dean,Free Throw Made,,36-35,2 - 11:11,1 (L5),,,
Doniel Dean,Free Throw Attempt,,,2 - 11:11,,,,DeShawn Freeman Defensive Rebound
,,,,2 - 10:40,,Keanu Pinder,Field Goal Attempt,
Denzel Council,Blocked shot,,,2 - 10:39,,,,
Denzel Council,Defensive Rebound,,,2 - 10:39,,,,
,,,,2 - 10:35,,Zach Winter,Defensive Foul,
Doniel Dean,Free Throw Made,,37-35,2 - 10:35,2,,,
Doniel Dean,Free Throw Made,,38-35,2 - 10:35,3,,,
,,,,2 - 10:13,,Akbar Hoffman,Field Goal Attempt,
Denzel Council,Blocked shot,,,2 - 10:13,,,,
Doniel Dean,Field Goal Attempt,,,2 - 9:59,,,,Keanu Pinder Defensive Rebound
,,,,2 - 9:48,,Bashier Ahmed,Field Goal Attempt,DeShawn Freeman Offensive Rebound
Denzel Council,Defensive Foul,,,2 - 9:48,,,,
Denzel Council,Left the Game,Montrel Goldston Entered the Game,,2 - 9:48,,,,
,,,,2 - 9:48,,Bashier Ahmed,Left the Game,Austin Budke Entered the Game
,,,,2 - 9:48,,DeShawn Freeman,Free Throw Attempt,HCC Offensive Rebound
