Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
,,,,1 - 9:59,,Dietrich Taylor,Entered the Game,
Gary Williams Jr.,Three Point Made,,22-24,1 - 9:49,-2,,,
Jerrelle DeBerry,Assist,,,1 - 9:48,,,,
,,,22-26,1 - 9:34,-4,Dietrich Taylor,Field Goal Made,
,,,,1 - 9:18,,Marcus Washington,Defensive Foul,
Akolda Manyang,Left the Game,Louis Adams Jr. Entered the Game,,1 - 9:18,,,,
Jordan Washington,Free Throw Made,,23-26,1 - 9:18,-3,,,
Jordan Washington,Free Throw Made,,24-26,1 - 9:18,-2,,,
,,Jordan Washington Defensive Rebound,,1 - 9:04,,D`Angelo Richardson,Field Goal Attempt,
Louis Adams Jr.,Three Point Made,,27-26,1 - 8:55,1 (L9),,,
Gary Williams Jr.,Assist,,,1 - 8:53,,,,
,,,,1 - 8:31,,D`Angelo Richardson,Left the Game,Torlorf Thomas Entered the Game
,,,,1 - 8:31,,Dietrich Taylor,Offensive Foul,
,,,,1 - 8:31,,Dietrich Taylor,Turnover,
,,,,1 - 8:31,,R.J. Scott,Left the Game,Vercell Webster Entered the Game
Louis Adams Jr.,Three Point Attempt,J.R. Harris Offensive Rebound,,1 - 8:15,,,,
J.R. Harris,Field Goal Attempt,,,1 - 8:14,,,,Dietrich Taylor Defensive Rebound
,,Jordan Washington Defensive Rebound,,1 - 7:47,,Dietrich Taylor,Field Goal Attempt,
Gary Williams Jr.,Turnover,,,1 - 7:41,,,,
,,,,1 - 7:40,,Dietrich Taylor,Steal,
,,,,1 - 7:19,,Jarvis Williams,Three Point Attempt,Vercell Webster Offensive Rebound
,,Gary Williams Jr. Defensive Rebound,,1 - 7:16,,Jarvis Williams,Field Goal Attempt,
Louis Adams Jr.,Offensive Foul,,,1 - 7:07,,,,
Louis Adams Jr.,Turnover,,,1 - 7:07,,,,
,,,,1 - 7:07,,Jarvis Williams,Charge,
Jerrelle DeBerry,Left the Game,Malik Dime Entered the Game,,1 - 7:07,,,,
,,,,1 - 7:07,,Dietrich Taylor,Left the Game,Gerald Glass Jr. Entered the Game
,,Louis Adams Jr. Defensive Rebound,,1 - 6:51,,Marcus Washington,Field Goal Attempt,
,,,,1 - 6:40,,Gerald Glass Jr.,Defensive Foul,
Jordan Washington,Left the Game,Akolda Manyang Entered the Game,,1 - 6:40,,,,
Malik Dime,Free Throw Made,,28-26,1 - 6:40,2,,,
Malik Dime,Free Throw Made,,29-26,1 - 6:40,3,,,
J.R. Harris,Jump Ball Won,,,1 - 6:15,,,,
,,,,1 - 6:04,,Torlorf Thomas,Field Goal Attempt,Gerald Glass Jr. Offensive Rebound
Gary Williams Jr.,Offensive Foul,,,1 - 6:04,,,,
Gary Williams Jr.,Turnover,,,1 - 6:04,,,,
Gary Williams Jr.,Left the Game,Jordan Furlow Entered the Game,,1 - 6:04,,,,
,,,,1 - 5:37,,Jarvis Williams,Charge,
,,,29-28,1 - 5:37,1,Vercell Webster,Field Goal Made,
J.R. Harris,Turnover,,,1 - 5:14,,,,
,,Louis Adams Jr. Defensive Rebound,,1 - 4:57,,Torlorf Thomas,Field Goal Attempt,
J.R. Harris,Turnover,,,1 - 4:50,,,,
,,,,1 - 4:41,,Gerald Glass Jr.,Offensive Foul,
,,,,1 - 4:41,,Gerald Glass Jr.,Turnover,
Jordan Furlow,Turnover,,,1 - 4:25,,,,
,,,,1 - 4:24,,Vercell Webster,Steal,
,,Akolda Manyang Defensive Rebound,,1 - 4:14,,Gerald Glass Jr.,Field Goal Attempt,
,,,,1 - 4:06,,Vercell Webster,Defensive Foul,
,,,,1 - 4:06,,Gerald Glass Jr.,Left the Game,Dietrich Taylor Entered the Game
Louis Adams Jr.,Free Throw Made,,30-28,1 - 4:06,2,,,
Louis Adams Jr.,Free Throw Attempt,,,1 - 4:06,,,,Vercell Webster Defensive Rebound
J.R. Harris,Defensive Foul,,,1 - 4:01,,,,
,,Akolda Manyang Defensive Rebound,,1 - 4:01,,Jarvis Williams,Free Throw Attempt,
Akolda Manyang,Field Goal Made,,32-28,1 - 3:52,4,,,
Malik Dime,Assist,,,1 - 3:52,,,,
,,,,1 - 3:52,,Vercell Webster,Defensive Foul,
Akolda Manyang,Free Throw Attempt,,,1 - 3:52,,,,Vercell Webster Defensive Rebound
,,,,1 - 3:30,,Dietrich Taylor,Field Goal Attempt,Vercell Webster Offensive Rebound
,,,,1 - 3:27,,Vercell Webster,Turnover,
Malik Dime,Field Goal Made,,34-28,1 - 3:18,6,,,
Jordan Furlow,Assist,,,1 - 3:18,,,,
J.R. Harris,Defensive Foul,,,1 - 3:01,,,,
,,,,1 - 3:01,,Vercell Webster,Left the Game,R.J. Scott Entered the Game
Malik Dime,Left the Game,,,1 - 3:01,,,,
J.R. Harris,Left the Game,Jerrelle DeBerry Entered the Game,,1 - 3:01,,,,
Jordan Washington,Entered the Game,,,1 - 3:01,,,,
,,,34-29,1 - 3:01,5,Torlorf Thomas,Free Throw Made,
,,,34-30,1 - 3:01,4,Torlorf Thomas,Free Throw Made,
Louis Adams Jr.,Three Point Attempt,Jordan Washington Offensive Rebound,,1 - 2:54,,,,
Jordan Washington,Field Goal Made,,36-30,1 - 2:52,6,,,
,,,36-33,1 - 2:27,3,Torlorf Thomas,Three Point Made,
,,,,1 - 2:25,,Dietrich Taylor,Assist,
Jordan Furlow,Turnover,,,1 - 2:01,,,,
,,,,1 - 2:00,,Jarvis Williams,Steal,
,,,,1 - 1:55,,Jarvis Williams,Turnover,
Louis Adams Jr.,Field Goal Attempt,Jerrelle DeBerry Offensive Rebound,,1 - 1:39,,,,
Jordan Furlow,Three Point Attempt,,,1 - 1:32,,,,R.J. Scott Defensive Rebound
,,,,1 - 1:21,,Torlorf Thomas,Field Goal Attempt,Dietrich Taylor Offensive Rebound
Jerrelle DeBerry,Defensive Foul,,,1 - 1:20,,,,
Jordan Washington,Left the Game,Malik Dime Entered the Game,,1 - 1:20,,,,
