Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Anthony Vidure,Turnover,,,1 - 8:00,,,,
,,,,1 - 8:00,,Kristian Keys,Charge,
Jamal McDowell,Left the Game,Dwayne Pow Entered the Game,,1 - 8:00,,,,
,,,,1 - 8:00,,Evan Moorman,Left the Game,Stefan Zecevic Entered the Game
Anthony Vidure,Left the Game,Jamal McDowell Entered the Game,,1 - 8:00,,,,
,,,,1 - 7:46,,Stefan Zecevic,Turnover,
Malik Brown,Field Goal Made,,27-28,1 - 7:23,-1,,,
,,,,1 - 7:09,,Kristian Keys,Three Point Attempt,Marcus Johnson Jr. Offensive Rebound
,,,27-30,1 - 6:58,-3,Stefan Zecevic,Field Goal Made,
,,,,1 - 6:58,,Kristian Keys,Assist,
Randy Holmes,Defensive Foul,,,1 - 6:58,,,,
,,,,1 - 6:58,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 6:58,,Coris Williams Jr.,Left the Game,
,,,,1 - 6:58,,Jemerrio Jones,Left the Game,
,,,,1 - 6:58,,Kristian Keys,Left the Game,
,,,,1 - 6:58,,Stefan Zecevic,Left the Game,
Malik Brown,Left the Game,,,1 - 6:58,,,,
Dwayne Pow,Left the Game,,,1 - 6:58,,,,
Jamal McDowell,Left the Game,,,1 - 6:58,,,,
Randy Holmes,Left the Game,,,1 - 6:58,,,,
Jalen Norman,Left the Game,,,1 - 6:58,,,,
,,,,1 - 6:58,,Stefan Zecevic,Entered the Game,
,,,,1 - 6:58,,Kristian Keys,Entered the Game,
,,,,1 - 6:58,,Jemerrio Jones,Entered the Game,
,,,,1 - 6:58,,Marcus Johnson Jr.,Entered the Game,
,,,,1 - 6:58,,Coris Williams Jr.,Entered the Game,
Dwayne Pow,Entered the Game,,,1 - 6:58,,,,
Aaron Cassell,Entered the Game,,,1 - 6:58,,,,
Freddy Bitondo,Entered the Game,,,1 - 6:58,,,,
Malik Brown,Entered the Game,,,1 - 6:58,,,,
Jalen Norman,Entered the Game,,,1 - 6:58,,,,
,,Freddy Bitondo Defensive Rebound,,1 - 6:58,,Stefan Zecevic,Free Throw Attempt,
Aaron Cassell,Three Point Made,,30-30,1 - 6:24,(T4),,,
Dwayne Pow,Assist,,,1 - 6:24,,,,
,,,,1 - 6:04,,Marcus Johnson Jr.,Three Point Attempt,Hill College Offensive Rebound
Aaron Cassell,Defensive Foul,,,1 - 6:03,,,,
,,Jalen Norman Defensive Rebound,,1 - 5:53,,Kristian Keys,Field Goal Attempt,
Aaron Cassell,Three Point Attempt,,,1 - 5:27,,,,Jemerrio Jones Defensive Rebound
,,,,1 - 5:22,,Jemerrio Jones,Turnover,
,,,,1 - 5:22,,Stefan Zecevic,Left the Game,Tyrell Bellot-Green Entered the Game
Aaron Cassell,Three Point Attempt,,,1 - 4:54,,,,Jemerrio Jones Defensive Rebound
,,,,1 - 4:49,,Kristian Keys,Turnover,
Dwayne Pow,Steal,,,1 - 4:49,,,,
Freddy Bitondo,Field Goal Made,,32-30,1 - 4:45,2 (L5),,,
Dwayne Pow,Assist,,,1 - 4:44,,,,
,,Mineral Area Defensive Rebound,,1 - 4:30,,Tyrell Bellot-Green,Three Point Attempt,
,,,,1 - 4:29,,Jemerrio Jones,Defensive Foul,
,,,,1 - 4:29,,Tyrell Bellot-Green,Left the Game,
,,,,1 - 4:29,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 4:29,,Coris Williams Jr.,Left the Game,
,,,,1 - 4:29,,Jemerrio Jones,Left the Game,
,,,,1 - 4:29,,Kristian Keys,Left the Game,Evan Moorman Entered the Game
,,,,1 - 4:29,,Marcus Johnson Jr.,Entered the Game,
,,,,1 - 4:29,,Tyrell Bellot-Green,Entered the Game,
,,,,1 - 4:29,,Coris Williams Jr.,Entered the Game,
,,,,1 - 4:29,,Devocio Butler,Entered the Game,
Dwayne Pow,Turnover,,,1 - 3:59,,,,
,,,,1 - 3:58,,Coris Williams Jr.,Steal,
,,,32-32,1 - 3:55,(T5),Devocio Butler,Field Goal Made,
Dwayne Pow,Left the Game,Greg Tucker Entered the Game,,1 - 3:35,,,,
Greg Tucker,Three Point Attempt,,,1 - 3:35,,,,Marcus Johnson Jr. Defensive Rebound
,,,,1 - 3:35,,Evan Moorman,Three Point Attempt,
Aaron Cassell,Left the Game,Dwayne Pow Entered the Game,,1 - 3:35,,,,
