Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
Colin May,Entered the Game,,,1 - 6:39,,,,
Daryle Morgan,Entered the Game,,,1 - 6:39,,,,
Christopher Boucher,Entered the Game,,,1 - 6:39,,,,
EJ Hubbard,Entered the Game,,,1 - 6:39,,,,
,,,,1 - 6:25,,Anthony Vanhook,Turnover,
William Desilien,Field Goal Attempt,EJ Hubbard Offensive Rebound,,1 - 6:12,,,,
EJ Hubbard,Field Goal Attempt,,,1 - 6:06,,,,Anthony Vanhook Defensive Rebound
,,,27-20,1 - 5:51,7,Anthony Vanhook,Field Goal Made,
EJ Hubbard,Three Point Made,,30-20,1 - 5:41,10,,,
William Desilien,Assist,,,1 - 5:40,,,,
,,Christopher Boucher Defensive Rebound,,1 - 5:22,,Nate Sims,Field Goal Attempt,
,,,,1 - 5:22,,Anthony Vanhook,Defensive Foul,
,,,,1 - 5:22,,Nate Sims,Left the Game,Calvin Davis Entered the Game
Christopher Boucher,Free Throw Attempt,,,1 - 5:22,,,,Cordea Wilson Defensive Rebound
,,,30-22,1 - 5:04,8,Anthony Vanhook,Field Goal Made,
,,,,1 - 5:02,,TJ Evans,Assist,
William Desilien,Turnover,,,1 - 4:56,,,,
,,,,1 - 4:56,,Calvin Davis,Steal,
William Desilien,Defensive Foul,,,1 - 4:55,,,,
,,,30-23,1 - 4:55,7,Cordea Wilson,Free Throw Made,
,,,,1 - 4:55,,Cordea Wilson,Free Throw Attempt,Anthony Vanhook Offensive Rebound
,,,30-25,1 - 4:49,5,Anthony Vanhook,Field Goal Made,
Christopher Boucher,Field Goal Made,,32-25,1 - 4:33,7,,,
William Desilien,Assist,,,1 - 4:33,,,,
,,Colin May Defensive Rebound,,1 - 4:10,,Anthony Vanhook,Field Goal Attempt,
Daryle Morgan,Field Goal Made,,34-25,1 - 3:54,9,,,
,,,,1 - 3:35,,Anthony Vanhook,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,1 - 3:33,,,,
,,,,1 - 3:30,,Anthony Vanhook,Offensive Rebound,
,,,,1 - 3:29,,Anthony Vanhook,Turnover,
EJ Hubbard,Steal,,,1 - 3:29,,,,
,,,,1 - 3:29,,Demetres Abrams,Defensive Foul,
EJ Hubbard,Free Throw Attempt,NW College Offensive Rebound,,1 - 3:29,,,,
EJ Hubbard,Free Throw Made,,35-25,1 - 3:29,10,,,
,,William Desilien Defensive Rebound,,1 - 3:15,,Cordea Wilson,Three Point Attempt,
William Desilien,Field Goal Made,,37-25,1 - 3:07,12,,,
Christopher Boucher,Defensive Foul,,,1 - 2:56,,,,
,,Christopher Boucher Defensive Rebound,,1 - 2:56,,Anthony Vanhook,Free Throw Attempt,
Daryle Morgan,Field Goal Made,,39-25,1 - 2:46,14,,,
Colin May,Assist,,,1 - 2:42,,,,
,,,,1 - 2:36,,Calvin Davis,Turnover,
Daryle Morgan,Steal,,,1 - 2:35,,,,
,,,,1 - 2:27,,Calvin Davis,Defensive Foul,
,,,,1 - 2:27,,TJ Evans,Left the Game,
,,,,1 - 2:27,,Calvin Davis,Left the Game,Nate Sims Entered the Game
,,,,1 - 2:27,,Parris Manning,Entered the Game,
Daryle Morgan,Free Throw Made,,40-25,1 - 2:27,15,,,
Daryle Morgan,Free Throw Made,,41-25,1 - 2:27,16,,,
,,,41-27,1 - 2:14,14,Anthony Vanhook,Field Goal Made,
William Desilien,Turnover,,,1 - 1:54,,,,
,,,,1 - 1:53,,Anthony Vanhook,Steal,
,,,41-29,1 - 1:49,12,Anthony Vanhook,Field Goal Made,
EJ Hubbard,Three Point Attempt,,,1 - 1:41,,,,Anthony Vanhook Defensive Rebound
,,,41-31,1 - 1:31,10,Anthony Vanhook,Field Goal Made,
,,,,1 - 1:30,,Demetres Abrams,Assist,
Christopher Boucher,Field Goal Attempt,,,1 - 1:17,,,,Anthony Vanhook Defensive Rebound
,,Colin May Defensive Rebound,,1 - 0:56,,Nate Sims,Three Point Attempt,
William Desilien,Field Goal Made,,43-31,1 - 0:40,12,,,
Christopher Boucher,Assist,,,1 - 0:39,,,,
,,Christopher Boucher Defensive Rebound,,1 - 0:30,,Demetres Abrams,Three Point Attempt,
William Desilien,Field Goal Made,,45-31,1 - 0:02,14,,,
,,,,2 - 20:00,,Nate Sims,Left the Game,
,,,,2 - 20:00,,Demetres Abrams,Left the Game,
,,,,2 - 20:00,,Cordea Wilson,Left the Game,
,,,,2 - 20:00,,Anthony Vanhook,Left the Game,
,,,,2 - 20:00,,Parris Manning,Left the Game,
William Desilien,Left the Game,,,2 - 20:00,,,,
Daryle Morgan,Left the Game,,,2 - 20:00,,,,
EJ Hubbard,Left the Game,,,2 - 20:00,,,,
Colin May,Left the Game,,,2 - 20:00,,,,
Christopher Boucher,Left the Game,Colin May Entered the Game,,2 - 20:00,,,,
1 William Desilien,Entered Game,,,,,,,
5 EJ Hubbard,Entered Game,,,,,,,
3 Daryle Morgan,Entered Game,,,,,,,
23 Christopher Boucher,Entered Game,,,,,,,
William Desilien,Three Point Attempt,Christopher Boucher Offensive Rebound,,2 - 20:00,,,,
,,,,2 - 20:00,,Aaron Thomas,Defensive Foul,
,,,,,,15 Anthony Vanhook,Entered Game,
William Desilien,Free Throw Made,,46-31,2 - 19:42,15,,,
William Desilien,Free Throw Attempt,,,2 - 19:42,,,,Anthony Vanhook Defensive Rebound
,,Daryle Morgan Defensive Rebound,,2 - 19:24,,Anthony Vanhook,Field Goal Attempt,
William Desilien,Turnover,,,2 - 19:14,,,,
,,,,2 - 19:12,,Anthony Vanhook,Steal,
,,,46-33,2 - 19:09,13,Anthony Vanhook,Field Goal Made,
Christopher Boucher,Three Point Made,,49-33,2 - 19:01,16,,,
Colin May,Assist,,,2 - 19:00,,,,
,,EJ Hubbard Defensive Rebound,,2 - 18:46,,Demetres Abrams,Three Point Attempt,
,,,,2 - 18:38,,Calvin Davis,Defensive Foul,
Christopher Boucher,Free Throw Made,,50-33,2 - 18:38,17,,,
Christopher Boucher,Free Throw Attempt,,,2 - 18:38,,,,Anthony Vanhook Defensive Rebound
,,,,2 - 18:29,,Calvin Davis,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,2 - 18:29,,,,
,,,,2 - 18:25,,Calvin Davis,Turnover,
Colin May,Steal,,,2 - 18:25,,,,
Christopher Boucher,Three Point Attempt,Daryle Morgan Offensive Rebound,,2 - 18:20,,,,
Daryle Morgan,Field Goal Made,,52-33,2 - 18:17,19,,,
,,William Desilien Defensive Rebound,,2 - 18:02,,Demetres Abrams,Field Goal Attempt,
EJ Hubbard,Three Point Attempt,,,2 - 17:53,,,,Calvin Davis Defensive Rebound
,,Daryle Morgan Defensive Rebound,,2 - 17:46,,Cordea Wilson,Field Goal Attempt,
Christopher Boucher,Three Point Attempt,,,2 - 17:34,,,,Cape Fear CC Defensive Rebound
EJ Hubbard,Defensive Foul,,,2 - 17:33,,,,
,,,,2 - 17:33,,Demetres Abrams,Left the Game,TJ Evans Entered the Game
,,,,2 - 17:16,,Aaron Thomas,Field Goal Attempt,
Christopher Boucher,Blocked shot,,,2 - 17:15,,,,
,,,,2 - 17:15,,Anthony Vanhook,Offensive Rebound,
,,NW College Defensive Rebound,,2 - 17:15,,Anthony Vanhook,Field Goal Attempt,
,,,,2 - 17:15,,Aaron Thomas,Defensive Foul,
William Desilien,Turnover,,,2 - 17:05,,,,
,,Colin May Defensive Rebound,,2 - 17:04,,Calvin Davis,Three Point Attempt,
,,,,2 - 16:42,,Calvin Davis,Defensive Foul,
,,,,2 - 16:42,,Calvin Davis,Left the Game,Demetres Abrams Entered the Game
Daryle Morgan,Offensive Foul,,,2 - 16:40,,,,
Daryle Morgan,Turnover,,,2 - 16:40,,,,
,,,,2 - 16:40,,Anthony Vanhook,Charge,
,,,52-35,2 - 16:34,17,TJ Evans,Field Goal Made,
,,,,2 - 16:16,,TJ Evans,Defensive Foul,
,,,,2 - 16:11,,Cordea Wilson,Defensive Foul,
William Desilien,Free Throw Made,,53-35,2 - 16:11,18,,,
William Desilien,Free Throw Made,,54-35,2 - 16:11,19,,,
